Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Labels],Comment [Experimental Replicate Date],Experimental Condition [Genetic Perturbation],Comment [Gene Identifier 1],Comment [Gene Identifier 2],Comment [Gene Symbol 1],Comment [Gene Symbol 2],Comment [Gene Annotation Comments],Assay Name,Source Name,Image File,Comment [Image File Path],Comment [Image File Type],Channels,Processed Data File
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0001.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,none,,,,,,2019-07-29_WellA1,2019-07-29-Migration-XY0001,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0001.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0002.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,none,,,,,,2019-07-29_WellA1,2019-07-29-Migration-XY0002,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0002.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0003.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,PTEN-/-,ENSG00000171862,,PTEN,,gene identifier from Ensembl,2019-07-29_WellA2,2019-07-29-Migration-XY0003,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0003.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0004.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,PTEN-/-,ENSG00000171862,,PTEN,,gene identifier from Ensembl,2019-07-29_WellA2,2019-07-29-Migration-XY0004,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0004.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0005.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas activation,ENSG00000133703,,KRAS,,gene identifier from Ensembl,2019-07-29_WellA3,2019-07-29-Migration-XY0005,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0005.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0006.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas activation,ENSG00000133703,,KRAS,,gene identifier from Ensembl,2019-07-29_WellA3,2019-07-29-Migration-XY0006,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0006.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0007.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas/PTEN-/-,ENSG00000133703,ENSG00000171862,PTEN,KRAS,gene identifier from Ensembl,2019-07-29_WellA4,2019-07-29-Migration-XY0007,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0007.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0008.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas/PTEN-/-,ENSG00000133703,ENSG00000171862,PTEN,KRAS,gene identifier from Ensembl,2019-07-29_WellA4,2019-07-29-Migration-XY0008,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0008.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0009.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas/PTEN-/-,ENSG00000133703,ENSG00000171862,PTEN,KRAS,gene identifier from Ensembl,2019-07-29_WellB4,2019-07-29-Migration-XY0009,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0009.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
Exp01,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0010.ome.tiff,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Lifeact-GFP,29/07/2019,kRas/PTEN-/-,ENSG00000133703,ENSG00000171862,PTEN,KRAS,gene identifier from Ensembl,2019-07-29_WellB4,2019-07-29-Migration-XY0010,2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0010.ome.tiff,experimentA\2019-07-29,raw,phase contrast,idr0111-experimentA-processed
